Year,Tax,Hours
1979,22.4,1817.119385
1980,22.4,1801.332764
1981,22.6,1788.807129
1982,20.8,1771.043457
1983,20.5,1779.080811
1984,20.8,1794.722046
1985,20.9,1800.700439
1986,21,1780.511719
1987,21.8,1787.977783
1988,21.9,1797.743286
1989,21.6,1809.922241
1990,21.7,1795.551514
1991,21.6,1787.253174
1992,21.6,1775.088135
1993,22.1,1790.074097
1994,22.5,1807.96582
1995,22.7,1817.575684
1996,22.9,1823.622314
1997,23,1828.681763
1998,22.7,1839.514404
1999,23.1,1841.641235
2000,23.1,1844.918701
2001,21.6,1823.822876
2002,20.8,1806.903687
2003,19.9,1791.093262
2004,20.3,1789.967896
2005,20.8,1787.311035
2006,20.9,1787.577637
2007,20.5,1786.084229
2008,18.5,1767.012695
2009,17.9,1729.955322
2010,18.6,1736.094971
2011,18.3,1745.049194
2012,18.9,1745.437988
2013,20.7,1750.078613
2014,21.2,1754.422363
2015,21.1,1765.182617
